loja,sku,titulo,fabricante,categoria,disponibilidade,preco,url,fabricante_original,peso_g,unidade_peso_extraida,unidades,categoria_quantidade,faixa_peso,preco_por_100g,preco_por_500g,preco_por_unidade
Mambo,2821,Café Torrado e Moído Tradicional Melitta 500g,Melitta,Mercearia,Disponivel,31.99,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-melitta-500g/p,Melitta,500.0,g,,peso,251g_500g,6.4,31.99,
Mambo,2822,Café Torrado e Moído Tradicional Pilão 250g,Pilão,Mercearia,Disponivel,26.49,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-pilao-250g/p,Pilão,250.0,g,,peso,101g_250g,10.6,52.98,
Mambo,2823,Café Torrado e Moído Tradicional Pilão 500g,Pilão,Mercearia,Disponivel,43.49,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-pilao-500g/p,Pilão,500.0,g,,peso,251g_500g,8.7,43.49,
Mambo,2828,Cápsula de Café Turim Italle 50g com 10 Unidades,Italle,Mercearia,Disponivel,13.99,https://www.mambo.com.br/cafe-turim-italle-50g-10-capsulas/p,Italle,50.0,g,10.0,peso,ate_100g,27.98,139.9,1.4
Mambo,2829,Cápsula de Café Veneza Italle 50g com 10 Unidades,Italle,Mercearia,Disponivel,13.99,https://www.mambo.com.br/cafe-veneza-italle-50g-10-capsulas/p,Italle,50.0,g,10.0,peso,ate_100g,27.98,139.9,1.4
Mambo,2830,Café Torrado e Moído Torra Escura Verona Starbucks 250g,Starbucks,Mercearia,Disponivel,48.98,https://www.mambo.com.br/cafe-torrado-e-moido-torra-escura-verona-starbucks-250g/p,Starbucks,250.0,g,,peso,101g_250g,19.59,97.96,
Mambo,2831,Cápsula de Café Starbucks Caffè Verona by Nespresso Nescafé 55g com 10 Unidades,Nescafé,Mercearia,Disponivel,32.98,https://www.mambo.com.br/capsula-de-cafe-starbucks-caffe-verona-by-nespresso-nescafe-55g-com-10-unidades-/p,Nescafé,55.0,g,10.0,peso,ate_100g,59.96,299.82,3.3
Mambo,2945,Cappuccino Chocolate 3 Corações Pote 200g,3 Corações,Mercearia,Disponivel,23.98,https://www.mambo.com.br/cappuccino-chocolate-3-coracoes-pote-200g/p,3 Corações,200.0,g,,peso,101g_250g,11.99,59.95,
Mambo,2946,Cappuccino Classic 3 Corações Pote 200g,3 Corações,Mercearia,Disponivel,23.98,https://www.mambo.com.br/cappuccino-classic-3-coracoes-pote-200g/p,3 Corações,200.0,g,,peso,101g_250g,11.99,59.95,
Mambo,2947,Cappuccino Classic 3 Corações Pote 400g,3 Corações,Mercearia,Disponivel,32.99,https://www.mambo.com.br/cappuccino-classic-3-coracoes-pote-400g/p,3 Corações,400.0,g,,peso,251g_500g,8.25,41.24,
Mambo,2949,Cápsula de Café Cappuccino Classic Tres 3 Corações 110g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,https://www.mambo.com.br/capsula-de-cafe-cappuccino-classic-tres-3-coracoes-110g-com-10-unidades/p,3 Corações,110.0,g,10.0,peso,101g_250g,16.35,81.73,1.8
Mambo,2950,Cápsula de Cappuccino Avelã 3 Corações 110g com 10 Unidades,3 Corações,Mercearia,Disponivel,17.98,https://www.mambo.com.br/capsula-de-cappuccino-avela-3-coracoes-110g-com-10-unidades/p,3 Corações,110.0,g,10.0,peso,101g_250g,16.35,81.73,1.8
Mambo,2953,Cappuccino Diet 3 Corações Pote 150g,3 Corações,Mercearia,Disponivel,21.99,https://www.mambo.com.br/cappuccino-diet-3-coracoes-pote-150g/p,3 Corações,150.0,g,,peso,101g_250g,14.66,73.3,
Mambo,2954,Cápsula de Café Cappuccino Doce de Leite 3 Corações com 10 Unidades,Havanna,Mercearia,Disponivel,17.98,https://www.mambo.com.br/capsula-de-cappuccino-doce-de-leite-3-coracoes-10-unid/p,Havanna,,,10.0,unidades,sem_peso,,,1.8
Mambo,2966,Cappuccino Tradicional Melitta 200g,Melitta,Mercearia,Disponivel,16.99,https://www.mambo.com.br/cappuccino-tradicional-melitta-200g/p,Melitta,200.0,g,,peso,101g_250g,8.49,42.48,
Mambo,2967,Cappucino Sabor Chocolate 3 Corações Sachê 20g,3 Corações,Mercearia,Disponivel,3.79,https://www.mambo.com.br/cappucino-sabor-chocolate-3-coracoes-sache-20g/p,3 Corações,20.0,g,,peso,ate_100g,18.95,94.75,
Mambo,2972,Capuccino Tradicional Italle 75g 10 Cápsulas,Italle,Mercearia,Disponivel,18.99,https://www.mambo.com.br/capuccino-tradicional-italle-75g-10-capsulas/p,Italle,75.0,g,10.0,peso,ate_100g,25.32,126.6,1.9
Mambo,16409,Café Torrado e Moído Gourmet Dark Roast 3 Corações 250g,3 Corações,Mercearia,Disponivel,25.99,https://www.mambo.com.br/cafe-torrado-e-moido-gourmet-dark-roast-3-coracoes-250g/p,3 Corações,250.0,g,,peso,101g_250g,10.4,51.98,
Mambo,16411,Café Torrado e Moído Extra Forte União 500g,União,Mercearia,Disponivel,25.9,https://www.mambo.com.br/cafe-torrado-e-moido-extra-forte-uniao-500g/p,União,500.0,g,,peso,251g_500g,5.18,25.9,
Mambo,16412,Café Torrado e Moído Tradicional União 500g,Camil,Mercearia,Disponivel,25.9,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-uniao-500g/p,Camil,500.0,g,,peso,251g_500g,5.18,25.9,
Mambo,16614,Café em Cápsula Torrado e Moído Espresso Ultimo L'or Caixa 52g 10 Unidades,L'OR,Mercearia,Disponivel,30.98,https://www.mambo.com.br/cafe-em-capsula-torrado-e-moido-espresso-ultimo-l-or-caixa-52g-10-unidades/p,Lor,52.0,g,10.0,peso,ate_100g,59.58,297.88,3.1
Mambo,16648,Café Torrado e Moído Premium Bravo 500g,Bravo Café,Mercearia,Disponivel,29.9,https://www.mambo.com.br/cafe-torrado-e-moido-premium-bravo-500g/p,Bravo Café,500.0,g,,peso,251g_500g,5.98,29.9,
Mambo,16697,Cápsula de Café Espresso Baunilha Flavours Collection L'or 52g com 10 Unidades,L'OR,Mercearia,Disponivel,30.98,https://www.mambo.com.br/cafe-capsula-espresso-baunilha-flavours-collection-lor-52g-10-capsulas/p,Lor,52.0,g,10.0,peso,ate_100g,59.58,297.88,3.1
Mambo,16698,Cápsula de Café Espresso Caramelo Flavours Collection L'or 52g com 10 Unidades,L'OR,Mercearia,Disponivel,30.98,https://www.mambo.com.br/cafe-capsula-espresso-caramelo-flavours-collection-lor-52g-10-capsulas/p,Lor,52.0,g,10.0,peso,ate_100g,59.58,297.88,3.1
Mambo,16776,Café Solúvel Espresso L'or 100g,L'OR,Mercearia,Disponivel,37.49,https://www.mambo.com.br/cafe-soluvel-espresso-l-or-100g/p,Lor,100.0,g,,peso,ate_100g,37.49,187.45,
Mambo,16778,Café Torrado e Moído Delicado Torras Gourmet L'or 250g,Pilão,Mercearia,Disponivel,30.49,https://www.mambo.com.br/cafe-torrado-e-moido-delicado-torras-gourmet-l-or-250g/p,Pilão,250.0,g,,peso,101g_250g,12.2,60.98,
Mambo,16779,Café Solúvel Tradicional 3 Corações Vidro 100g,3 Corações,Mercearia,Disponivel,26.99,https://www.mambo.com.br/cafe-soluvel-tradicional-3-coracoes-vidro-100g/p,3 Corações,100.0,g,,peso,ate_100g,26.99,134.95,
Mambo,16780,Café Torrado e Moído Intenso Torras Gourmet L'or 250g,L'OR,Mercearia,Disponivel,30.49,https://www.mambo.com.br/cafe-torrado-e-moido-intenso-torras-gourmet-l-or-250g/p,Lor,250.0,g,,peso,101g_250g,12.2,60.98,
