Titulo,Fabricante,preco,loja,tipo_produto,quantidade_unidades,peso_gramas,faixa_peso,preco_100g,preco_500g,preco_unidade
Café Torrado e Moído Superior Aviação 500g,Aviação,54.98,Mambo,tradicional,,500.0,251g_500g,10.996,54.98,
Café Torrado e Moído 252 Graus a Vácuo Pilão 500g,Pilão,43.49,Mambo,tradicional,,500.0,251g_500g,8.698,43.49,
Café Torrado e Moído 252° Graus Abre & Fecha Pilão Sachê 500g,Pilão,43.49,Mambo,sache_drip,,500.0,251g_500g,8.698,43.49,
Café Torrado e Moído a Vácuo Tradicional 3 Corações Pacote 500g,3 Corações,27.99,Mambo,tradicional,,500.0,251g_500g,5.598,27.99,
Cápsula de Café Aqtivus 8 Delta 55g com 10 Unidades,Delta Q,28.49,Mambo,capsula,10.0,55.0,ate_100g,51.8,259.0,2.849
Café Torrado e Moído Aromatizado Amêndoas Torradas Floresta 100g,Floresta,19.98,Mambo,tradicional,,100.0,ate_100g,19.98,99.9,
Café Torrado e Moído Aromatizado Baunilha com Nozes Floresta 100g,Floresta,19.98,Mambo,tradicional,,100.0,ate_100g,19.98,99.9,
Café Torrado e Moído Aromatizado Crème Brulée Floresta 100g,Floresta,19.98,Mambo,tradicional,,100.0,ate_100g,19.98,99.9,
Café Torrado e Moído Aromatizado Trufas com Chocolate Floresta 100g,Floresta,19.98,Mambo,tradicional,,100.0,ate_100g,19.98,99.9,
Cápsula de Café Barítono Bravo 50g com 10 Unidades,Bravo Café,23.98,Mambo,capsula,10.0,50.0,ate_100g,47.96,239.8,2.398
Cápsula de Café Blonde Espresso Roast Starbucks & Nespresso com 10 Unidades,Nescafé,32.98,Mambo,capsula,10.0,,sem_peso,,,3.298
Cápsula de Café Blonde Espresso Roast Starbucks & Nespresso com 10 Unidades,Nescafé,32.98,Mambo,capsula,10.0,,sem_peso,,,3.298
Café Torrado e Moído Bourbon Amarelo Varietais Orfeu 250g,Orfeu,42.49,Mambo,tradicional,,250.0,101g_250g,16.996,84.98,
Cápsula de Café Bourbon Amarelo Orfeu 50g com 10 Unidades,Orfeu,26.99,Mambo,capsula,10.0,50.0,ate_100g,53.98,269.9,2.699
Cápsula de Café Clássico Orfeu 50g com 10 Unidades,Orfeu,26.99,Mambo,capsula,10.0,50.0,ate_100g,53.98,269.9,2.699
Cápsula de Café Single-Origin Colombia Nespresso Starbucks 57g com 10 Unidades,Nescafé,32.98,Mambo,capsula,10.0,57.0,ate_100g,57.8596,289.2982,3.298
Cápsula de Café com Cacau Italle 25g com 10 Unidades,Italle,18.99,Mambo,capsula,10.0,25.0,ate_100g,75.96,379.8,1.899
Cápsula de Café Com Leite Tres 3 Corações 90g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,90.0,ate_100g,19.9778,99.8889,1.798
Cápsula de Café Baileys Supremo Macchiato Tres 3 Corações 110g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,110.0,101g_250g,16.3455,81.7273,1.798
Cápsula de Café Espresso Forza Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,80.0,ate_100g,22.475,112.375,1.798
Café Torrado e Moído Descafeinado a Vácuo 3 Corações 250g,3 Corações,40.98,Mambo,tradicional,,250.0,101g_250g,16.392,81.96,
